P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
distichum-2_6	bicolor	alpestre-1_5	0.106026	2.66793	0.007632	0.0359458	210.889	133.882	108.214
alpestre-1_5	exaltatum	bicolor	0.0249565	0.442596	0.658058	0.00302183	170.641	55.9362	53.2122
geraniifolium	alpestre-1_5	bicolor	0.0840617	1.67182	0.094559	0.00938702	249.902	61.1554	51.671
alpestre-1_5	geyeri	bicolor	0.180198	4.0346	5.46947e-05	0.023536	197.54	80.5831	55.9755
alpestre-1_5	glaucescens	bicolor	0.247851	5.57935	2.41416e-08	0.0385593	190.909	100.93	60.8359
alpestre-1_5	glaucum-1_2	bicolor	0.00583164	0.111854	0.910939	0.000766117	175.77	62.2839	61.5616
alpestre-1_5	glaucum-3_4	bicolor	0.13375	2.92768	0.00341504	0.0173854	188.48	79.5128	60.7524
gypsophilum	alpestre-1_5	bicolor	0.447175	11.7855	2.3e-16	0.110673	153.51	196.769	75.1662
hesperium	alpestre-1_5	bicolor	0.294551	6.52036	7.01405e-11	0.056099	147.598	123.197	67.1348
lineapetalum	bicolor	alpestre-1_5	0.0125606	0.3039	0.761204	0.00428213	186.916	113.293	110.482
bicolor	multiplex	alpestre-1_5	0.161624	4.16522	3.11051e-05	0.0567436	145.733	145.44	104.968
alpestre-1_5	novomexicanum	bicolor	0.00705038	0.139611	0.888967	0.000705936	282.217	52.6957	51.9578
alpestre-1_5	bicolor	nudicaule	0.013967	0.313188	0.754138	0.00264472	348.204	87.2179	84.8151
nuttallianum-14	bicolor	alpestre-1_5	0.0410337	0.961132	0.336486	0.0133161	196.676	102.978	94.8602
nuttallianum-7_9	bicolor	alpestre-1_5	0.186989	4.83943	1.3021e-06	0.0604583	219.026	132.452	90.7209
alpestre-1_5	occidentale	bicolor	0.199342	4.31982	1.56155e-05	0.0298696	191.757	91.8666	61.3285
parryi	alpestre-1_5	bicolor	0.24413	5.44572	5.15956e-08	0.049442	141.336	121.919	74.0718
alpestre-1_5	bicolor	patens	0.1125	2.32416	0.0201167	0.0211662	544.709	69.9431	55.7973
alpestre-1_5	ramosum-1_5	bicolor	0.101665	2.22953	0.0257785	0.00746934	552.285	44.1446	35.9971
alpestre-1_5	ramosum-3	bicolor	0.111503	2.01667	0.0437299	0.0114658	286.445	57.24	45.7556
ramosum-4_10	alpestre-1_5	bicolor	0.0181148	0.376803	0.70632	0.00175306	277.198	53.3933	51.4933
alpestre-1_5	sapellonis	bicolor	0.0438038	0.88289	0.377296	0.00463872	305.18	58.3523	53.4548
bicolor	alpestre-1_5	scaposum	0.0954343	2.31795	0.0204519	0.024131	116.446	122.765	101.375
scopulorum	alpestre-1_5	bicolor	0.0298098	0.597806	0.549969	0.00324744	246.664	55.7475	52.5201
stachydeum	alpestre-1_5	bicolor	0.240749	4.85268	1.21806e-06	0.041963	147.479	109.002	66.7014
alpestre-1_5	bicolor	trolliifolium	0.130174	3.12678	0.00176732	0.0278442	243.783	120.373	92.6437
bicolor	viridescens	alpestre-1_5	0.260745	5.79091	7.00067e-09	0.0883468	135.925	134.612	78.9319
bicolor	xantholeucum	alpestre-1_5	0.0073448	0.17815	0.858605	0.00262037	178.289	113.697	112.039
brachycentrum	alpestre-1_5	californicum	0.310585	6.95893	3.42874e-12	0.0318807	157.219	130.603	68.7018
brachycentrum	alpestre-1_5	cardinale	0.401604	9.06148	2.3e-16	0.042986	142.12	140.143	59.832
carolinianum	alpestre-1_5	brachycentrum	0.167371	3.33017	0.000867922	0.0395126	153.121	96.0117	68.4805
brachycentrum	alpestre-1_5	distichum-1_5	0.317507	7.95827	1.74459e-15	0.0592901	155.26	153.249	79.3858
brachycentrum	alpestre-1_5	distichum-2_6	0.286427	7.25787	3.93241e-13	0.0584308	226.256	146.723	81.3865
brachycentrum	exaltatum	alpestre-1_5	0.384427	8.78216	2.3e-16	0.139877	73.1198	142.913	63.5451
geraniifolium	alpestre-1_5	brachycentrum	0.140309	2.9516	0.00316128	0.0241352	237.871	78.9575	59.5269
brachycentrum	alpestre-1_5	geyeri	0.417202	11.2442	2.3e-16	0.140962	85.9468	212.98	87.584
brachycentrum	alpestre-1_5	glaucescens	0.089638	2.41496	0.0157368	0.0401092	95.1823	183.057	152.939
brachycentrum	glaucum-1_2	alpestre-1_5	0.312941	7.31927	2.49323e-13	0.113937	84.5779	151.121	79.0814
brachycentrum	glaucum-3_4	alpestre-1_5	0.362832	9.79763	2.3e-16	0.119468	153.749	164.365	76.8461
brachycentrum	alpestre-1_5	gypsophilum	0.361879	8.97466	2.3e-16	0.0429097	244.192	152.726	71.5614
brachycentrum	alpestre-1_5	hesperium	0.395437	9.34684	2.3e-16	0.0416878	161.687	145.302	62.951
brachycentrum	alpestre-1_5	lineapetalum	0.375527	8.98165	2.3e-16	0.0550231	192.588	141.878	64.411
brachycentrum	alpestre-1_5	multiplex	0.331249	8.70913	2.3e-16	0.0695595	169.845	155.725	78.2283
novomexicanum	alpestre-1_5	brachycentrum	0.0469246	0.958378	0.337872	0.00702997	266.705	63.698	57.988
brachycentrum	alpestre-1_5	nudicaule	0.423206	10.1692	2.3e-16	0.0711825	466.275	127.718	51.7613
brachycentrum	alpestre-1_5	nuttallianum-14	0.402391	9.58089	2.3e-16	0.0659474	185.08	123.925	52.809
brachycentrum	alpestre-1_5	nuttallianum-7_9	0.426275	10.9251	2.3e-16	0.101144	231.396	139.381	56.0665
alpestre-1_5	brachycentrum	occidentale	0.0441856	1.26167	0.207067	0.0231258	82.5233	189.937	173.862
