P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
brachycentrum	glaucum-3_4	carolinianum	0.407819	9.97608	2.3e-16	0.0429541	155.218	151.714	63.8166
brachycentrum	carolinianum	gypsophilum	0.342703	8.01647	1.08832e-15	0.0579883	191.367	180.904	88.5584
brachycentrum	carolinianum	hesperium	0.34566	7.74626	9.46357e-15	0.0486362	130.355	150.013	72.9453
brachycentrum	carolinianum	lineapetalum	0.265442	6.04467	1.49712e-09	0.0508904	165.052	138.943	80.6528
brachycentrum	carolinianum	multiplex	0.263083	6.49775	8.15297e-11	0.0705946	133.725	153.034	89.2842
carolinianum	novomexicanum	brachycentrum	0.153087	2.89744	0.00376217	0.0370689	149.313	97.2717	71.4436
brachycentrum	carolinianum	nudicaule	0.341343	7.87774	3.3336e-15	0.0754194	365.046	130.103	63.8863
brachycentrum	carolinianum	nuttallianum-14	0.307959	6.80244	1.02865e-11	0.0675717	162.648	134.549	71.1901
brachycentrum	carolinianum	nuttallianum-7_9	0.337375	8.02549	1.01124e-15	0.104678	199.596	141.591	70.1536
carolinianum	brachycentrum	occidentale	0.0821725	2.22342	0.0261874	0.0457406	74.4184	176.474	149.674
brachycentrum	carolinianum	parryi	0.374413	8.65341	2.3e-16	0.053689	129.972	177.141	80.6285
brachycentrum	carolinianum	patens	0.358477	7.89992	2.79084e-15	0.0804898	559.306	102.056	48.1944
carolinianum	ramosum-1_5	brachycentrum	0.210952	4.185	2.8517e-05	0.050182	154.166	101.21	65.9475
carolinianum	ramosum-3	brachycentrum	0.176046	3.14841	0.00164162	0.042173	151.499	95.5078	66.9141
carolinianum	ramosum-4_10	brachycentrum	0.101123	2.00757	0.044689	0.0245248	170.214	94.6143	77.2362
carolinianum	sapellonis	brachycentrum	0.158502	3.07444	0.00210896	0.0381572	161.403	99.5417	72.3038
brachycentrum	carolinianum	scaposum	0.249506	5.8147	6.0742e-09	0.0638651	145.761	133.583	80.2345
carolinianum	scopulorum	brachycentrum	0.107961	2.10586	0.0352169	0.026063	184.651	92.0247	74.0907
brachycentrum	carolinianum	stachydeum	0.195356	4.10995	3.95749e-05	0.0358717	122.597	127.269	85.6701
brachycentrum	carolinianum	trolliifolium	0.35819	8.10708	5.18574e-16	0.0799796	292.628	150.497	71.1172
brachycentrum	carolinianum	viridescens	0.185418	4.09221	4.27286e-05	0.0324883	103.274	124.362	85.4578
brachycentrum	carolinianum	xantholeucum	0.276734	6.50684	7.67469e-11	0.0617137	157.965	137.69	78.0012
distichum-2_6	distichum-1_5	brachycentrum	0.257965	6.89966	5.21284e-12	0.0732943	339.233	175.287	103.397
brachycentrum	exaltatum	distichum-1_5	0.330287	7.61427	2.6518e-14	0.0632737	141.31	135.692	68.3121
brachycentrum	geraniifolium	distichum-1_5	0.263477	6.54261	6.0455e-11	0.0559264	161.34	161.229	93.9858
brachycentrum	geyeri	distichum-1_5	0.314127	8.06105	7.56448e-16	0.0672175	168.697	175.582	91.6401
brachycentrum	glaucescens	distichum-1_5	0.313885	8.01461	1.10491e-15	0.0669508	233.149	180.845	94.438
brachycentrum	glaucum-1_2	distichum-1_5	0.313126	7.72732	1.09831e-14	0.0622688	157.797	154.184	80.6511
brachycentrum	glaucum-3_4	distichum-1_5	0.347657	9.35163	2.3e-16	0.0624898	239.845	160.628	77.753
gypsophilum	brachycentrum	distichum-1_5	0.0991036	2.77734	0.00548059	0.0302696	131.018	212.671	174.319
brachycentrum	hesperium	distichum-1_5	0.10534	2.6734	0.00750878	0.0279951	128.322	169.306	137.036
lineapetalum	distichum-1_5	brachycentrum	0.226162	5.74204	9.3542e-09	0.0568407	310.333	146.896	92.7067
multiplex	distichum-1_5	brachycentrum	0.0959141	2.77994	0.00543683	0.0183726	733.251	102.885	84.8763
brachycentrum	novomexicanum	distichum-1_5	0.295023	7.42652	1.11495e-13	0.0547252	162.425	147.014	80.0305
brachycentrum	distichum-1_5	nudicaule	0.326032	8.36307	2.3e-16	0.0814006	422.503	181.538	92.2685
nuttallianum-14	distichum-1_5	brachycentrum	0.272432	6.63035	3.34887e-11	0.0737485	289.285	143.02	81.7776
nuttallianum-7_9	distichum-1_5	brachycentrum	0.347982	9.5726	2.3e-16	0.101038	292.231	179.293	86.7238
brachycentrum	occidentale	distichum-1_5	0.338911	8.72656	2.3e-16	0.0655281	264.122	166.116	82.02
brachycentrum	parryi	distichum-1_5	0.125131	3.2435	0.00118069	0.0366561	124.131	185.087	143.918
brachycentrum	distichum-1_5	patens	0.386034	9.52947	2.3e-16	0.0891376	660.381	127.644	56.5419
brachycentrum	ramosum-1_5	distichum-1_5	0.317767	8.07115	6.96383e-16	0.060376	168.771	159.623	82.6395
brachycentrum	ramosum-3	distichum-1_5	0.291367	7.03663	1.96948e-12	0.0569226	158.228	147.89	81.1539
brachycentrum	ramosum-4_10	distichum-1_5	0.368842	9.64248	2.3e-16	0.0737864	154.528	175.925	81.1168
brachycentrum	sapellonis	distichum-1_5	0.332652	8.48753	2.3e-16	0.0649163	170.474	162.547	81.3981
brachycentrum	distichum-1_5	scaposum	0.372497	11.6669	2.3e-16	0.123906	142.708	229.259	104.817
brachycentrum	scopulorum	distichum-1_5	0.293701	7.37495	1.64407e-13	0.0627178	141.713	156.267	85.3142
brachycentrum	stachydeum	distichum-1_5	0.102234	2.46255	0.0137955	0.0266178	117.769	164.438	133.934
brachycentrum	distichum-1_5	trolliifolium	0.379282	10.0953	2.3e-16	0.0937223	303.904	195.898	88.1598
distichum-1_5	viridescens	brachycentrum	0.0360727	0.813142	0.416137	0.00715916	609.171	88.135	81.9979
xantholeucum	distichum-1_5	brachycentrum	0.231222	5.93807	2.884e-09	0.0604919	301.216	140.641	87.8168
brachycentrum	exaltatum	distichum-2_6	0.421932	9.62709	2.3e-16	0.0833158	202.081	137.631	55.952
brachycentrum	geraniifolium	distichum-2_6	0.190215	4.64896	3.33611e-06	0.0419352	222.642	141.857	96.5152
brachycentrum	geyeri	distichum-2_6	0.376262	9.87841	2.3e-16	0.0830792	232.088	177.942	80.6455
brachycentrum	glaucescens	distichum-2_6	0.377936	9.8466	2.3e-16	0.0849669	281.631	178.183	80.4401
brachycentrum	glaucum-1_2	distichum-2_6	0.303984	7.23632	4.61019e-13	0.0620187	218.417	135.169	72.1478
brachycentrum	glaucum-3_4	distichum-2_6	0.309435	8.15439	3.50956e-16	0.0573534	312.265	143.654	75.7597
gypsophilum	brachycentrum	distichum-2_6	0.0555744	1.53638	0.124444	0.0186924	188.19	200.211	179.129
brachycentrum	hesperium	distichum-2_6	0.0541009	1.36599	0.171943	0.0158126	181.684	163.432	146.656
distichum-2_6	lineapetalum	brachycentrum	0.0214476	0.552422	0.580659	0.00582945	336.134	130.143	124.677
distichum-2_6	multiplex	brachycentrum	0.207779	5.75603	8.61164e-09	0.0580227	324.744	170.731	111.988
brachycentrum	novomexicanum	distichum-2_6	0.295166	7.18739	6.60436e-13	0.0602	235.291	150.058	81.6621
brachycentrum	distichum-2_6	nudicaule	0.313185	8.36369	2.3e-16	0.0842947	363.403	192.357	100.606
distichum-2_6	nuttallianum-14	brachycentrum	0.0543425	1.30808	0.190846	0.0135407	361.4	110.836	99.4108
nuttallianum-7_9	distichum-2_6	brachycentrum	0.134527	3.67637	0.00023658	0.0337168	455.924	131.077	99.9918
brachycentrum	occidentale	distichum-2_6	0.452236	12.0464	2.3e-16	0.0997089	329.189	183.581	69.2444
brachycentrum	parryi	distichum-2_6	0.0646148	1.65318	0.098295	0.0192484	180.02	159.643	140.265
brachycentrum	distichum-2_6	patens	0.400228	10.4568	2.3e-16	0.106148	579.053	143.013	61.2582
brachycentrum	ramosum-1_5	distichum-2_6	0.261013	6.57184	4.96981e-11	0.0520943	249.034	145.39	85.2021
brachycentrum	ramosum-3	distichum-2_6	0.358897	8.71602	2.3e-16	0.0747058	225.615	149.78	70.6634
brachycentrum	ramosum-4_10	distichum-2_6	0.377296	9.77043	2.3e-16	0.0816098	229.104	173.988	78.6634
brachycentrum	sapellonis	distichum-2_6	0.292039	7.3739	1.65702e-13	0.0598204	237.022	150.93	82.7005
brachycentrum	distichum-2_6	scaposum	0.0736647	2.05359	0.040015	0.0250332	132.713	180.923	156.096
brachycentrum	scopulorum	distichum-2_6	0.29036	7.327	2.3536e-13	0.0643992	202.022	152.909	84.0931
brachycentrum	stachydeum	distichum-2_6	0.153716	3.6998	0.000215773	0.0427802	170.743	170.567	125.116
brachycentrum	distichum-2_6	trolliifolium	0.409075	11.7317	2.3e-16	0.119228	244.943	233.706	98.0093
distichum-2_6	viridescens	brachycentrum	0.261389	6.27275	3.54737e-10	0.0731407	238.769	156.111	91.4112
distichum-2_6	xantholeucum	brachycentrum	0.0166332	0.412157	0.680224	0.00447344	336.905	120.756	116.804
brachycentrum	exaltatum	geraniifolium	0.385433	8.81079	2.3e-16	0.0968327	86.9262	145.464	64.5269
brachycentrum	exaltatum	geyeri	0.34656	8.34436	2.3e-16	0.113629	79.6152	161.171	78.2107
brachycentrum	exaltatum	glaucescens	0.101904	2.53467	0.0112554	0.0424003	94.6437	148.118	120.722
exaltatum	glaucum-1_2	brachycentrum	0.0747016	1.26611	0.205473	0.0150044	171.159	69.0231	59.4277
exaltatum	glaucum-3_4	brachycentrum	0.329288	9.42671	2.3e-16	0.0821325	182.433	114.903	57.9761
brachycentrum	exaltatum	gypsophilum	0.393645	8.9654	2.3e-16	0.0459437	205.055	134.647	58.583
brachycentrum	exaltatum	hesperium	0.343125	7.53584	4.85215e-14	0.0373064	143.678	124.836	61.0527
brachycentrum	exaltatum	lineapetalum	0.370184	8.16332	3.25911e-16	0.0575262	180.394	128.76	59.1858
brachycentrum	exaltatum	multiplex	0.320935	7.67995	1.59148e-14	0.0660107	157.114	128.132	65.8697
brachycentrum	exaltatum	novomexicanum	0.338981	7.54944	4.3712e-14	0.1065	83.5282	143.339	70.7626
brachycentrum	exaltatum	nudicaule	0.437842	9.55229	2.3e-16	0.0749768	392.067	111.725	43.6814
brachycentrum	exaltatum	nuttallianum-14	0.394103	8.83069	2.3e-16	0.068227	177.235	117.352	51.0026
brachycentrum	exaltatum	nuttallianum-7_9	0.395994	8.78017	2.3e-16	0.0952088	212.034	119.303	51.6189
brachycentrum	exaltatum	occidentale	0.0384944	1.01197	0.311552	0.0195762	82.1155	158.471	146.723
brachycentrum	exaltatum	parryi	0.304834	6.6146	3.72556e-11	0.0291562	142.887	114.833	61.1788
brachycentrum	exaltatum	patens	0.470467	10.1015	2.3e-16	0.0870017	593.929	94.526	34.0399
brachycentrum	exaltatum	ramosum-1_5	0.352238	8.1015	5.4286e-16	0.138756	76.6464	152.73	73.162
brachycentrum	exaltatum	ramosum-3	0.361589	8.1001	5.49148e-16	0.100928	69.7708	142.977	67.0382
brachycentrum	exaltatum	ramosum-4_10	0.413769	9.78789	2.3e-16	0.176336	76.8093	166.989	69.2433
brachycentrum	exaltatum	sapellonis	0.386991	9.03669	2.3e-16	0.140307	81.0326	147.197	65.0569
brachycentrum	exaltatum	scaposum	0.31261	7.06936	1.55646e-12	0.0651127	170.181	118.625	62.122
brachycentrum	exaltatum	scopulorum	0.410075	9.54691	2.3e-16	0.116896	81.7205	150.483	62.9566
brachycentrum	exaltatum	stachydeum	0.340369	7.19517	6.23832e-13	0.0469816	137.936	115.73	56.9537
brachycentrum	exaltatum	trolliifolium	0.434187	9.57599	2.3e-16	0.0749144	315.606	128.08	50.5301
brachycentrum	exaltatum	viridescens	0.31373	6.84909	7.4323e-12	0.0426398	120.662	113.181	59.1238
brachycentrum	exaltatum	xantholeucum	0.38372	8.66544	2.3e-16	0.06746	180.03	126.457	56.3212
brachycentrum	geraniifolium	geyeri	0.261384	6.543	6.02985e-11	0.0894221	86.5323	183.937	107.706
brachycentrum	geraniifolium	glaucescens	0.0480303	1.27584	0.202011	0.0234016	96.755	190.264	172.824
brachycentrum	glaucum-1_2	geraniifolium	0.384383	8.98888	2.3e-16	0.100746	103.989	176.105	78.3116
brachycentrum	glaucum-3_4	geraniifolium	0.425591	11.4717	2.3e-16	0.102736	165.838	182.266	73.4401
brachycentrum	geraniifolium	gypsophilum	0.317766	7.60032	2.95394e-14	0.0414132	222.058	160.393	83.0386
brachycentrum	geraniifolium	hesperium	0.337764	7.76306	8.29068e-15	0.0406841	147.945	156.631	77.5373
brachycentrum	geraniifolium	lineapetalum	0.306754	7.24747	4.24617e-13	0.0519592	191.164	154.001	81.6992
brachycentrum	geraniifolium	multiplex	0.285028	7.33262	2.25689e-13	0.0696167	170.319	173.982	96.8013
geraniifolium	novomexicanum	brachycentrum	0.132139	2.63775	0.00834579	0.0236502	256.479	80.4271	61.6528
brachycentrum	geraniifolium	nudicaule	0.360073	8.28087	2.3e-16	0.0689456	438.747	138.813	65.3125
brachycentrum	geraniifolium	nuttallianum-14	0.254029	5.79157	6.97309e-09	0.0441114	181.885	116.935	69.5599
brachycentrum	geraniifolium	nuttallianum-7_9	0.35478	8.74824	2.3e-16	0.090664	217.374	138.787	66.0981
geraniifolium	brachycentrum	occidentale	0.0707439	2.00447	0.0450196	0.0377497	79.7187	201.885	175.208
brachycentrum	geraniifolium	parryi	0.309775	7.16781	7.62096e-13	0.034131	152.265	148.081	78.0356
brachycentrum	geraniifolium	patens	0.389077	8.62958	2.3e-16	0.0740748	702.904	100.607	44.2474
geraniifolium	ramosum-1_5	brachycentrum	0.221702	4.7089	2.49054e-06	0.0437154	240.273	99.4102	63.3303
geraniifolium	ramosum-3	brachycentrum	0.203817	3.85213	0.000117095	0.0383399	240.18	89.2669	59.0395
geraniifolium	ramosum-4_10	brachycentrum	0.0294679	0.606559	0.544143	0.00533325	251.438	74.1586	69.9131
geraniifolium	sapellonis	brachycentrum	0.205359	4.15367	3.2718e-05	0.0370637	268.074	89.0566	58.7112
brachycentrum	geraniifolium	scaposum	0.398177	9.64977	2.3e-16	0.0976494	172.705	173.021	74.4742
geraniifolium	scopulorum	brachycentrum	0.0221049	0.430744	0.666655	0.00234592	660.639	43.1081	41.2435
brachycentrum	geraniifolium	stachydeum	0.294916	6.9447	3.79278e-12	0.046021	141.312	141.801	77.2109
brachycentrum	geraniifolium	trolliifolium	0.318742	7.34327	2.08433e-13	0.0556991	322.342	128.02	66.135
brachycentrum	geraniifolium	viridescens	0.278092	6.42865	1.2874e-10	0.0423368	127.374	144.006	81.3394
brachycentrum	geraniifolium	xantholeucum	0.329606	7.65106	1.99337e-14	0.063183	187.522	140.28	70.73
geyeri	glaucescens	brachycentrum	0.210818	5.81145	6.19324e-09	0.0643102	253.384	148.83	97.0039
brachycentrum	glaucum-1_2	geyeri	0.277619	6.55799	5.4537e-11	0.0822674	98.7956	157.261	88.9171
brachycentrum	glaucum-3_4	geyeri	0.430565	12.6174	2.3e-16	0.124974	157.77	191.648	76.2853
brachycentrum	geyeri	gypsophilum	0.283747	6.98192	2.91183e-12	0.0350316	257.121	152.199	84.918
brachycentrum	geyeri	hesperium	0.320932	7.58954	3.21043e-14	0.0373749	169.252	154.79	79.5749
brachycentrum	geyeri	lineapetalum	0.376777	9.59079	2.3e-16	0.0618278	209.301	160.469	72.6391
brachycentrum	geyeri	multiplex	0.349142	9.37013	2.3e-16	0.0855043	183.034	185.519	89.4989
brachycentrum	novomexicanum	geyeri	0.300916	7.8041	5.9926e-15	0.0950194	97.1719	178.635	95.9948
brachycentrum	geyeri	nudicaule	0.437421	10.921	2.3e-16	0.0768438	479.669	140.219	54.8791
brachycentrum	geyeri	nuttallianum-14	0.394149	9.47413	2.3e-16	0.0779167	186.239	151.371	65.781
brachycentrum	geyeri	nuttallianum-7_9	0.456607	11.6826	2.3e-16	0.128801	234.704	168.813	62.9763
geyeri	occidentale	brachycentrum	0.392597	12.2864	2.3e-16	0.128005	227.073	180.984	78.9392
brachycentrum	geyeri	parryi	0.273957	6.65539	2.82553e-11	0.0290006	171.728	144.431	82.3127
brachycentrum	geyeri	patens	0.408475	9.60225	2.3e-16	0.0740652	716.654	100.319	42.1315
brachycentrum	ramosum-1_5	geyeri	0.405441	10.8494	2.3e-16	0.129886	99.7732	203.431	86.0597
brachycentrum	ramosum-3	geyeri	0.447425	11.9622	2.3e-16	0.157292	82.8401	214.614	81.9321
brachycentrum	ramosum-4_10	geyeri	0.402762	10.9901	2.3e-16	0.138066	87.592	219.488	93.449
brachycentrum	sapellonis	geyeri	0.339417	8.87456	2.3e-16	0.108678	103.273	189.57	93.4933
brachycentrum	geyeri	scaposum	0.363384	8.98918	2.3e-16	0.0806184	193.164	152.688	71.296
brachycentrum	scopulorum	geyeri	0.317117	8.23026	2.3e-16	0.110247	82.3796	188.281	97.6174
brachycentrum	geyeri	stachydeum	0.301222	6.86513	6.64326e-12	0.0458678	166.066	141.856	76.179
brachycentrum	geyeri	trolliifolium	0.409736	10.2206	2.3e-16	0.0702938	342.953	139.953	58.5992
brachycentrum	geyeri	viridescens	0.359946	8.51693	2.3e-16	0.0556333	143.114	160.317	75.4529
brachycentrum	geyeri	xantholeucum	0.426255	10.758	2.3e-16	0.0822941	189.254	157.742	63.4553
brachycentrum	glaucum-1_2	glaucescens	0.0846138	2.18752	0.0287049	0.0388715	102.597	176.587	149.035
brachycentrum	glaucum-3_4	glaucescens	0.24415	8.28196	2.3e-16	0.107171	157.253	226.305	137.486
brachycentrum	glaucescens	gypsophilum	0.273733	6.75998	1.38008e-11	0.0357949	294.836	160.547	91.5421
brachycentrum	glaucescens	hesperium	0.29568	6.75549	1.42356e-11	0.0365128	222.577	162.086	88.1085
brachycentrum	glaucescens	lineapetalum	0.338189	8.69016	2.3e-16	0.0575161	261.467	163.192	80.7079
brachycentrum	glaucescens	multiplex	0.385985	10.3707	2.3e-16	0.101802	249.938	213.918	94.7695
brachycentrum	novomexicanum	glaucescens	0.0720477	1.90802	0.056389	0.0323216	104.608	178.35	154.377
brachycentrum	glaucescens	nudicaule	0.461731	11.2407	2.3e-16	0.0877101	523.671	153.911	56.6762
brachycentrum	glaucescens	nuttallianum-14	0.328688	7.97796	1.48763e-15	0.064856	248.712	149.516	75.5421
brachycentrum	glaucescens	nuttallianum-7_9	0.449306	12.1229	2.3e-16	0.114612	295.202	162.17	61.62
glaucescens	occidentale	brachycentrum	0.283424	8.63966	2.3e-16	0.0792953	463.748	138.376	77.2597
brachycentrum	glaucescens	parryi	0.243938	5.66032	1.5109e-08	0.0266601	225.28	146.338	88.9436
brachycentrum	glaucescens	patens	0.470666	10.9479	2.3e-16	0.0916059	778.356	114.24	41.1181
brachycentrum	ramosum-1_5	glaucescens	0.126578	3.46129	0.0005376	0.0570575	115.746	194.446	150.751
brachycentrum	ramosum-3	glaucescens	0.106355	2.82519	0.00472524	0.0487132	102.518	179.686	145.139
brachycentrum	ramosum-4_10	glaucescens	0.139009	3.80812	0.000140025	0.0642278	97.9939	202.722	153.24
brachycentrum	sapellonis	glaucescens	0.111242	2.96438	0.0030329	0.0499421	111.562	192.062	153.609
brachycentrum	glaucescens	scaposum	0.362802	9.14326	2.3e-16	0.0776119	244.933	149.731	70.0089
brachycentrum	scopulorum	glaucescens	0.0289596	0.754729	0.450411	0.0135587	94.8312	168.185	158.718
brachycentrum	glaucescens	stachydeum	0.343333	7.69399	1.42619e-14	0.0549685	218.503	157.615	77.0477
brachycentrum	glaucescens	trolliifolium	0.357626	8.4809	2.3e-16	0.0615098	398.935	135.784	64.2474
brachycentrum	glaucescens	viridescens	0.310416	7.23771	4.5634e-13	0.0472365	196.801	152.263	80.1259
brachycentrum	glaucescens	xantholeucum	0.39524	9.84044	2.3e-16	0.0825599	252.273	171.146	74.1825
glaucum-1_2	glaucum-3_4	brachycentrum	0.339443	9.81734	2.3e-16	0.0813312	225.85	124.419	61.3583
brachycentrum	glaucum-1_2	gypsophilum	0.330002	7.48746	7.02217e-14	0.0364525	217.346	132.226	66.61
brachycentrum	glaucum-1_2	hesperium	0.42286	9.72719	2.3e-16	0.0466788	146.556	147.063	59.6516
brachycentrum	glaucum-1_2	lineapetalum	0.421079	10.0548	2.3e-16	0.0647298	191.561	143.375	58.4084
brachycentrum	glaucum-1_2	multiplex	0.37718	9.23705	2.3e-16	0.0843887	169.133	160.567	72.6152
brachycentrum	glaucum-1_2	novomexicanum	0.353859	8.06981	7.04081e-16	0.110173	82.9223	155.54	74.2331
brachycentrum	glaucum-1_2	nudicaule	0.495567	11.258	2.3e-16	0.0882477	433.545	135.441	45.6823
brachycentrum	glaucum-1_2	nuttallianum-14	0.388217	9.04306	2.3e-16	0.0631145	178.393	115.561	50.9275
brachycentrum	glaucum-1_2	nuttallianum-7_9	0.435306	10.3196	2.3e-16	0.104356	230.266	132.988	52.3218
glaucum-1_2	brachycentrum	occidentale	0.0281742	0.775328	0.438146	0.0139293	95.0187	172.14	162.706
brachycentrum	glaucum-1_2	parryi	0.322983	7.05479	1.7286e-12	0.0313318	152.175	127.226	65.1059
brachycentrum	glaucum-1_2	patens	0.425842	9.38425	2.3e-16	0.0736594	673.115	91.8715	36.9948
brachycentrum	glaucum-1_2	ramosum-1_5	0.275455	6.57112	4.99395e-11	0.104881	87.1486	152.404	86.5757
brachycentrum	glaucum-1_2	ramosum-3	0.328341	7.67632	1.63723e-14	0.0887048	76.8177	149.2	75.441
brachycentrum	glaucum-1_2	ramosum-4_10	0.343242	8.14874	3.67761e-16	0.139114	91.0711	163.51	79.9457
brachycentrum	glaucum-1_2	sapellonis	0.314999	7.54807	4.41769e-14	0.121249	80.9705	167.311	87.1545
brachycentrum	glaucum-1_2	scaposum	0.409066	9.57477	2.3e-16	0.0840238	175.93	135.786	56.946
brachycentrum	glaucum-1_2	scopulorum	0.393871	8.92431	2.3e-16	0.110296	94.0192	157.868	68.6494
brachycentrum	glaucum-1_2	stachydeum	0.405758	9.06219	2.3e-16	0.0557232	144.836	129.832	54.8828
brachycentrum	glaucum-1_2	trolliifolium	0.447447	10.0273	2.3e-16	0.0718515	331.879	122.598	46.8009
brachycentrum	glaucum-1_2	viridescens	0.321399	7.12587	1.03422e-12	0.0450289	132.215	130.712	67.1267
brachycentrum	glaucum-1_2	xantholeucum	0.419121	9.69536	2.3e-16	0.0725138	184.119	129.959	53.1953
brachycentrum	glaucum-3_4	gypsophilum	0.354898	9.12185	2.3e-16	0.039997	313.798	153.275	72.9783
brachycentrum	glaucum-3_4	hesperium	0.379286	9.47722	2.3e-16	0.0404571	233.25	154.859	69.6905
brachycentrum	glaucum-3_4	lineapetalum	0.376988	10.0979	2.3e-16	0.0534207	280.128	145.181	65.6866
brachycentrum	glaucum-3_4	multiplex	0.399949	11.2212	2.3e-16	0.0833087	266.59	173.533	74.3805
brachycentrum	glaucum-3_4	novomexicanum	0.33659	8.76622	2.3e-16	0.0987274	144.171	160.507	79.6671
brachycentrum	glaucum-3_4	nudicaule	0.455815	11.5744	2.3e-16	0.0728364	549.422	135.698	50.724
brachycentrum	glaucum-3_4	nuttallianum-14	0.352418	8.61629	2.3e-16	0.0536688	260.258	118.774	56.8728
brachycentrum	glaucum-3_4	nuttallianum-7_9	0.437683	11.7302	2.3e-16	0.0966808	306.522	138.966	54.3536
brachycentrum	glaucum-3_4	occidentale	0.191509	7.15543	8.34125e-13	0.100878	141.242	237.477	161.138
brachycentrum	glaucum-3_4	parryi	0.35529	8.99074	2.3e-16	0.0350049	236.803	147.289	70.0652
brachycentrum	glaucum-3_4	patens	0.45624	11.0193	2.3e-16	0.0742819	855.562	95.0898	35.5065
brachycentrum	glaucum-3_4	ramosum-1_5	0.301742	8.16796	3.1366e-16	0.105993	150.861	165.707	88.8855
brachycentrum	glaucum-3_4	ramosum-3	0.391204	10.136	2.3e-16	0.100621	132.159	169.312	74.0916
brachycentrum	glaucum-3_4	ramosum-4_10	0.443309	12.4712	2.3e-16	0.158284	167.44	179.417	69.2018
brachycentrum	glaucum-3_4	sapellonis	0.332932	9.0185	2.3e-16	0.113597	147.892	176.218	88.1888
brachycentrum	glaucum-3_4	scaposum	0.455953	12.2691	2.3e-16	0.0884446	259.444	150.705	56.3139
brachycentrum	glaucum-3_4	scopulorum	0.393782	10.5067	2.3e-16	0.0994413	157.372	161.427	70.2118
brachycentrum	glaucum-3_4	stachydeum	0.40648	10.0166	2.3e-16	0.0523965	216.506	136.487	57.5959
brachycentrum	glaucum-3_4	trolliifolium	0.417197	10.3165	2.3e-16	0.061793	413.06	124.664	51.2664
brachycentrum	glaucum-3_4	viridescens	0.36568	8.90525	2.3e-16	0.0499696	197.239	147.002	68.2785
brachycentrum	glaucum-3_4	xantholeucum	0.414767	10.73	2.3e-16	0.0674462	261.218	137.976	57.0754
gypsophilum	hesperium	brachycentrum	0.170434	4.34094	1.41873e-05	0.0496615	310.439	146.003	103.482
gypsophilum	brachycentrum	lineapetalum	0.0216887	0.602855	0.546605	0.00569312	166.81	184.952	177.1
gypsophilum	brachycentrum	multiplex	0.119293	3.43726	0.000587628	0.0425007	143.821	224.193	176.405
brachycentrum	novomexicanum	gypsophilum	0.287247	6.77141	1.27533e-11	0.031791	233.955	133.238	73.7741
brachycentrum	gypsophilum	nudicaule	0.127988	3.42641	0.000611612	0.0377316	369.305	179.348	138.648
gypsophilum	brachycentrum	nuttallianum-14	0.0789948	2.06913	0.0385341	0.0228886	151.691	165.747	141.477
gypsophilum	brachycentrum	nuttallianum-7_9	0.0314982	0.885876	0.375684	0.0133033	182.001	173.859	163.241
brachycentrum	occidentale	gypsophilum	0.330168	8.07462	6.76867e-16	0.0411621	333.489	159.007	80.0708
gypsophilum	parryi	brachycentrum	0.191552	4.92253	8.54326e-07	0.0465695	576.293	119.497	81.0764
brachycentrum	gypsophilum	patens	0.18665	4.75347	1.99952e-06	0.0549283	576.696	132.748	90.9878
brachycentrum	ramosum-1_5	gypsophilum	0.361363	8.94624	2.3e-16	0.0417946	262.573	151.415	71.0312
brachycentrum	ramosum-3	gypsophilum	0.353064	8.27243	2.3e-16	0.0425093	238.602	150.257	71.8416
brachycentrum	ramosum-4_10	gypsophilum	0.346979	8.47632	2.3e-16	0.0419843	231.045	156.73	75.9835
brachycentrum	sapellonis	gypsophilum	0.324712	7.80267	6.06123e-15	0.0383054	244.51	148.451	75.6745
gypsophilum	brachycentrum	scaposum	0.067616	1.87029	0.0614429	0.0241738	150.6	186.334	162.732
brachycentrum	scopulorum	gypsophilum	0.356033	8.53502	2.3e-16	0.0470888	209.911	162.589	77.2118
gypsophilum	brachycentrum	stachydeum	0.10275	2.55698	0.0105587	0.0235574	116.922	175.696	142.955
brachycentrum	gypsophilum	trolliifolium	0.0400926	1.08031	0.280004	0.0113363	275.752	161.396	148.953
gypsophilum	brachycentrum	viridescens	0.0947731	2.53349	0.0112932	0.021	113.297	183.912	152.07
gypsophilum	brachycentrum	xantholeucum	0.0513841	1.39472	0.163101	0.0157306	159.769	175.75	158.571
brachycentrum	hesperium	lineapetalum	0.149	3.60788	0.000308707	0.0323491	158.029	164.985	122.195
brachycentrum	hesperium	multiplex	0.138912	3.67178	0.000240871	0.0443837	144.301	186.434	140.955
brachycentrum	novomexicanum	hesperium	0.357586	8.23941	2.3e-16	0.0393393	156.889	145.965	69.0712
brachycentrum	hesperium	nudicaule	0.354733	8.94972	2.3e-16	0.100723	334.199	192.28	91.5842
brachycentrum	hesperium	nuttallianum-14	0.118313	2.71558	0.00661594	0.0285868	150.471	135.522	106.846
brachycentrum	hesperium	nuttallianum-7_9	0.120743	3.04507	0.00232626	0.0403269	182.944	142.107	111.487
brachycentrum	occidentale	hesperium	0.330425	7.84781	4.2337e-15	0.0359703	253.033	144.066	72.5056
hesperium	parryi	brachycentrum	0.0159747	0.361056	0.718058	0.00426727	304.453	106.882	103.521
brachycentrum	hesperium	patens	0.406447	9.31508	2.3e-16	0.105625	546.028	128.778	54.3472
